Season,Player,Position,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Overall Pick,Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award
2023,Jacob Copeland,WR,Maryland,Big Ten,71.25,201,8.625,31.625,76.75,4.42,33,20,127,7.01,4.47,300,1,1645,7.842,61.934,61.039,57.849,51.968,0,0,0
2023,Gervarrius Owens,CB,Houston,AAC,72,195,9.5,32,78,4.53,37.5,15,125,6.97,4.52,254,1,1619,4.061,51.527,62.603,38.496,54.875,1.6094,0,0
2023,Gervon Dexter,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31,22,110,7.5,4.73,53,1,1581,7.555,60.994,69.396,49.078,49.533,5.3279,0,0
2023,Grant DuBose,WR,Charlotte,Conference USA,74,201,9.5,31.875,77.875,4.57,35,17,125,6.89,4.32,256,1,1081,-17.759,17.839,41.399,10.816,49.466,1.0986,0,0
2023,Habakkuk Baldonado,EDGE,Pittsburgh,ACC,76.25,251,10.5,33,79.375,4.78,35,21,120,7.11,4.44,300,1,1687,7.918,61.732,46.268,72.6,50.534,0,0,0
2023,Hendon Hooker,QB,Tennessee,SEC,75,217,10.5,33,79.25,4.58,35,20,120,7.07,4.36,68,0,2000,22.728,84.959,90.062,58.984,68.61,5.2523,0,1
2023,Henry Bainivalu,IOL,Washington,Pac-12,77.75,306,10.75,34,81.125,5.5,28,20,101,8.34,4.97,300,1,1760,11.472,73.944,84.016,49.984,45.242,0,1,0
2023,Henry To'oTo'o,LB,Alabama,SEC,73,227,10.25,32.75,77.375,4.62,32,20,116,7.44,4.4,167,1,2181,27.296,89.526,85.539,81.093,61.676,4.5218,1,0
2023,Evan Hull,RB,Northwestern,Big Ten,70.125,209,9.25,30.625,74.375,4.47,37,20,123,6.9,4.38,176,1,1257,-7.588,30.34,26.742,42.636,51.301,4.4188,0,0
2023,Felix Anudike-Uzomah,EDGE,Kansas St.,Big 12,75.125,255,9.625,33.5,80.125,4.62,33,23,120,7.17,4.44,31,0,1861,14.823,77.392,70.169,73.461,57.448,5.4293,0,0
2023,Garrett Williams,CB,Syracuse,ACC,70,192,9.25,31,74.5,4.46,36.5,13,127,6.76,4.29,72,0,1464,5.084,59.708,56.419,61.005,44.497,5.2311,0,0
2023,Israel Abanikanda,RB,Pittsburgh,ACC,70,216,8.25,32,76,4.54,34.5,20,121,6.94,4.42,143,0,1687,7.918,61.732,46.268,72.6,50.534,4.7536,0,0
