Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual__Round 1,Actual__Rounds 2-3,Actual__Rounds 4-5,Actual__Rounds 6-7,Actual__Undrafted,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,EDGE,DL,Florida,SEC,75.875,250,9.25,33.125,80.75,4.82,33.0,24,115.0,7.22,4.44,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,0,0,0,0,1,0,0.3483137227224912,0,0.4132231404958678,0.0
2024,CB,Secondary,South Dakota,MVFC,70.875,195,9.375,29.875,74.0,4.5,35.5,13,118.0,6.88,3.98,1,1729,10.639,66.998,59.904,66.911,53.148,0,0,Rounds 6-7,0,0,0,1,0,1,0.34830715719720906,1,0.8264462809917356,1.7241379310344827
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,1,0,Rounds 4-5,0,0,1,0,0,0,0.3483037787119762,1,1.2396694214876034,1.7241379310344827
2023,WR,Skill,Purdue,Big Ten,71.375,175,9.0,31.625,74.0,4.43,36.5,13,124.0,6.91,4.29,1,1460,4.283,58.947,63.872,51.004,46.438,0,0,Rounds 4-5,0,0,1,0,0,0,0.3482720802885609,1,1.6528925619834711,1.7241379310344827
2025,DL,DL,Ohio State,Big Ten,74.875,299,10.125,32.25,78.625,4.28,24.5,33,93.0,8.19,4.97,0,2211,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 4-5,0,0,1,0,0,0,0.3482696135879996,1,2.066115702479339,1.7241379310344827
2023,C,OL,Arkansas,SEC,75.0,306,9.75,33.25,79.625,5.26,32.5,20,111.0,7.52,4.43,1,1686,6.93,62.299,69.2,48.112,56.255,0,0,Rounds 4-5,0,0,1,0,0,0,0.34825808739064845,1,2.479338842975207,1.7241379310344827
2024,IOL,OL,Utah,Pac-12,76.5,321,10.0,32.5,79.5,5.38,29.5,27,101.0,7.95,4.9,1,1684,10.768,65.114,50.684,74.826,48.257,0,0,Undrafted,0,0,0,0,1,0,0.3482511786054996,1,2.8925619834710745,1.7241379310344827
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,29.875,70.75,4.61,33.5,22,116.0,6.87,4.23,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,Undrafted,0,0,0,0,1,0,0.34824739712865377,1,3.3057851239669422,1.7241379310344827
2025,CB,Secondary,California,ACC,70.75,189,8.75,29.625,75.0,4.45,37.75,11,122.3,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 6-7,0,0,0,1,0,1,0.3482261010439845,2,3.71900826446281,3.4482758620689653
2025,RB,Skill,Oregon,Big Ten,69.5,205,9.5,29.625,73.75,4.55,37.18,33,115.6,7.03,4.03,1,2040,21.125,85.854,85.403,73.779,53.859,1,0,Rounds 4-5,0,0,1,0,0,0,0.3482217222222121,2,4.132231404958678,3.4482758620689653
