Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual__Round 1,Actual__Rounds 2-3,Actual__Rounds 4-5,Actual__Rounds 6-7,Actual__Undrafted,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,IOL,OL,Liberty,Conference USA,75.25,322,10.25,33.25,81.125,5.5,24.0,26,96.0,8.26,4.97,1,1609,3.816,67.732,83.531,42.547,34.869,0,0,Undrafted,0,0,0,0,1,1,0.8018484836828235,1,0.4132231404958678,1.5151515151515151
2025,CB,Secondary,Western Michigan,MAC,73.25,190,9.0,30.75,75.5,4.43,26.41,16,124.0,6.65,4.03,1,1268,-10.952,37.661,53.267,24.968,62.263,0,0,Rounds 6-7,0,0,0,1,0,0,0.6202230770413671,1,0.8264462809917356,1.5151515151515151
2023,WR,Skill,Fresno St.,Mountain West,71.125,172,8.875,30.125,74.75,4.4,34.5,12,121.0,6.91,4.29,1,1766,3.726,61.671,58.399,57.283,60.117,0,0,Undrafted,0,0,0,0,1,1,0.5846859843319735,2,1.2396694214876034,3.0303030303030303
2025,WR,Skill,San Jose St.,Mountain West,74.5,203,8.625,31.0,76.5,4.57,34.0,16,123.0,7.41,4.47,1,1477,-5.133,42.709,44.903,47.684,35.133,0,0,Undrafted,0,0,0,0,1,1,0.5375522358721105,3,1.6528925619834711,4.545454545454546
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,0,0,0,0,1,1,0.5108189600504687,4,2.066115702479339,6.0606060606060606
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 2-3,0,1,0,0,0,0,0.5101926998532973,4,2.479338842975207,6.0606060606060606
2023,WR,Skill,Charlotte,Conference USA,74.0,201,9.5,31.875,77.875,4.57,35.0,17,125.0,6.89,4.32,1,1081,-17.759,17.839,41.399,10.816,49.466,0,0,Rounds 6-7,0,0,0,1,0,0,0.4983208568494012,4,2.8925619834710745,6.0606060606060606
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,78.375,5.06,30.0,12,114.0,7.27,4.46,1,1551,6.904,61.732,66.565,49.575,55.483,0,0,Undrafted,0,0,0,0,1,1,0.4807629544933978,5,3.3057851239669422,7.575757575757576
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0,0,0,1,1,0.46841815870051784,6,3.71900826446281,9.090909090909092
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,1729,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 2-3,0,1,0,0,0,0,0.4646687884906563,6,4.132231404958678,9.090909090909092
2023,LB,LB,TCU,Big 12,71.0,227,8.625,31.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 6-7,0,0,0,1,0,0,0.46270068106832574,6,4.545454545454546,9.090909090909092
2025,WR,Skill,Missouri,SEC,75.0,200,9.5,32.125,78.375,4.56,31.0,17,117.0,6.84,4.03,1,1711,12.197,68.028,61.356,72.874,37.108,0,0,Undrafted,0,0,0,0,1,1,0.44956939707513266,7,4.958677685950414,10.606060606060606
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,34.0,81.125,5.5,28.0,20,101.0,8.34,4.97,1,1760,11.472,73.944,84.016,49.984,45.242,1,0,Undrafted,0,0,0,0,1,1,0.4481267919862564,8,5.371900826446281,12.121212121212121
2024,LB,LB,Missouri,SEC,73.75,231,8.875,31.375,77.75,4.62,34.0,18,118.0,7.23,4.5,0,1866,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 2-3,0,1,0,0,0,0,0.4469653227396636,8,5.785123966942149,12.121212121212121
2024,C,OL,Oklahoma,Big 12,76.0,314,10.0,32.5,78.75,5.42,24.5,24,95.0,7.41,4.33,1,1930,22.492,84.142,84.36,76.697,33.868,0,0,Undrafted,0,0,0,0,1,1,0.4462108614870276,9,6.198347107438017,13.636363636363635
2025,IOL,OL,Clemson,ACC,77.25,321,9.0,32.625,80.875,5.45,24.5,11,113.3,6.77,4.03,0,1807,14.768,79.193,79.078,73.333,36.319,0,0,Undrafted,0,0,0,0,1,1,0.44588621116849003,10,6.6115702479338845,15.151515151515152
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,78.25,5.06,29.5,27,103.0,6.81,4.6,1,1585,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0,0,1,0,0,0.44556811910638183,10,7.024793388429752,15.151515151515152
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0,0,0,1,1,0.44534107656260735,11,7.43801652892562,16.666666666666664
2025,LB,LB,Florida,SEC,73.0,222,8.5,31.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,1767,11.901,71.717,58.466,70.419,67.15,0,0,Rounds 4-5,0,0,1,0,0,0,0.44019241482229465,11,7.851239669421488,16.666666666666664
